data,ticker,codbdi,tpmerc,preco_fechamento_brl,negocios,quantidade_negociada,volume_brl,ano,mes
2019-10-04,ITUB4,02,010,33.45,36930,25181500,833288344,2019,10
2019-10-07,ITUB4,02,010,32.83,31079,15574100,515506285,2019,10
2019-10-08,ITUB4,02,010,32.69,29385,14886100,489706827,2019,10
2019-10-09,ITUB4,02,010,33.21,30187,12442900,411730245,2019,10
2019-10-10,ITUB4,02,010,33.45,21470,10893700,363477550,2019,10
2019-10-11,ITUB4,02,010,33.88,40553,19970500,676832945,2019,10
2019-10-14,ITUB4,02,010,34.45,19876,10268800,352241501,2019,10
2019-10-15,ITUB4,02,010,34.37,22292,15976800,550263748,2019,10
2019-10-16,ITUB4,02,010,34.86,33143,17662300,607940982,2019,10
2019-10-17,ITUB4,02,010,34.65,38634,17054300,591182624,2019,10
2019-10-18,ITUB4,02,010,34.24,23706,11418100,392213516,2019,10
2019-10-21,ITUB4,02,010,34.8,24148,16378000,566396597,2019,10
2019-10-22,ITUB4,02,010,35.88,40760,35538100,1262206668,2019,10
2019-10-23,ITUB4,02,010,36.39,57960,34380200,1250692664,2019,10
2019-10-24,ITUB4,02,010,36.56,56728,27250700,995795204,2019,10
2019-10-25,ITUB4,02,010,36.8,39366,18955500,695427300,2019,10
2019-10-28,ITUB4,02,010,37.3,30886,20976400,781654689,2019,10
2019-10-29,ITUB4,02,010,36.64,40708,16557800,609660017,2019,10
2019-10-30,ITUB4,02,010,36.87,40891,23575800,857716010,2019,10
2019-10-31,ITUB4,02,010,36.23,38701,26038300,939241971,2019,10
2019-11-01,ITUB4,02,010,36.35,37060,18958400,689891808,2019,11
2019-11-04,ITUB4,02,010,36.47,21001,10065400,366555245,2019,11
2019-11-05,ITUB4,02,010,37.1,63740,46982800,1750998921,2019,11
2019-11-06,ITUB4,02,010,36.6,44547,19030900,701593804,2019,11
2019-11-07,ITUB4,02,010,36.82,27441,15689500,576190157,2019,11
2019-11-08,ITUB4,02,010,36.27,26139,15088000,548066069,2019,11
2019-11-11,ITUB4,02,010,36.43,42448,17480000,636457322,2019,11
2019-11-12,ITUB4,02,010,35.81,37691,19644000,702516599,2019,11
2019-11-13,ITUB4,02,010,35.45,38641,17688000,626444666,2019,11
2019-11-14,ITUB4,02,010,35.68,28513,14012300,497815379,2019,11
2019-11-18,ITUB4,02,010,35.52,40761,13345400,477355932,2019,11
2019-11-19,ITUB4,02,010,35.13,31624,17887600,628093740,2019,11
2019-11-21,ITUB4,02,010,35.49,40193,26063800,919446190,2019,11
2019-11-22,ITUB4,02,010,35.73,27903,16433000,585711287,2019,11
2019-11-25,ITUB4,02,010,35.22,29434,15202500,536831707,2019,11
2019-11-26,ITUB4,02,010,34.5,38520,26176400,904505991,2019,11
2019-11-27,ITUB4,02,010,34.7,40927,19366600,669860945,2019,11
2019-11-28,ITUB4,02,010,34.6,33484,15850200,545589332,2019,11
2019-11-29,ITUB4,02,010,34.8,27486,16530900,572877026,2019,11
2019-12-02,ITUB4,02,010,35.28,34512,16447900,580646747,2019,12
2019-12-03,ITUB4,02,010,35.29,34257,15999200,564682995,2019,12
2019-12-04,ITUB4,02,010,36.56,49076,34060300,1230231456,2019,12
2019-12-05,ITUB4,02,010,36.51,43822,29077100,1068991171,2019,12
2019-12-06,ITUB4,02,010,35.85,41507,28794200,1040564395,2019,12
2019-12-09,ITUB4,02,010,36.55,47613,26700900,972609745,2019,12
2019-12-10,ITUB4,02,010,36.02,37837,21527300,776558029,2019,12
2019-12-11,ITUB4,02,010,35.6,51244,37043600,1333736698,2019,12
2019-12-12,ITUB4,02,010,35.59,44384,23355500,833928332,2019,12
2019-12-13,ITUB4,02,010,36.31,56876,27255500,981739115,2019,12
2019-12-16,ITUB4,02,010,35.48,37853,21663700,783161428,2019,12
2019-12-17,ITUB4,02,010,36.02,42762,19250800,691057002,2019,12
2019-12-18,ITUB4,02,010,36.48,50112,40451900,1470101429,2019,12
2019-12-19,ITUB4,02,010,36.66,29618,22053300,806806899,2019,12
2019-12-20,ITUB4,02,010,36.5,27580,24863500,906813301,2019,12
2019-12-23,ITUB4,02,010,36.84,29870,11691500,428097512,2019,12
2019-12-26,ITUB4,02,010,37.4,42167,16333100,607767147,2019,12
