ticker,model,RMSE,MAE,RMSE_RW,MAE_RW,skill_rmse_pct,skill_mae_pct
CPLE6,AR1_painel,5498.96539494302,2095.82347035335,5510.23072773402,2025.99117205468,0.204443939784671,-3.44682145025583
CPLE6,RW,5510.23072773402,2025.99117205468,5510.23072773402,2025.99117205468,0,0
CPLE6,FATOR1_painel,5534.75700075432,2298.22090023394,5510.23072773402,2025.99117205468,-0.445104283870679,-13.4368664550095
CPLE6,N1_painel,5536.67143473797,2266.6303734457,5510.23072773402,2025.99117205468,-0.479847547415213,-11.8776036495253
CPLE6,AR1_indiv,5577.4568178378,2092.27932284034,5510.23072773402,2025.99117205468,-1.22002314286802,-3.27188744452593
CPRE3,RW,2.65338974754849,0.854976494727016,2.65338974754849,0.854976494727016,0,0
CPRE3,FATOR1_painel,62.9764008094077,38.3730963152241,2.65338974754849,0.854976494727016,-2273.43197951196,-4388.20482807263
CPRE3,N1_painel,63.023375124851,42.5021288556841,2.65338974754849,0.854976494727016,-2275.20233064439,-4871.14588737958
CPRE3,AR1_indiv,63.3308642583845,49.0734064466967,2.65338974754849,0.854976494727016,-2286.79087069274,-5639.73749563317
CPRE3,AR1_painel,63.4526033319608,45.6259636656385,2.65338974754849,0.854976494727016,-2291.3789291824,-5236.51672847525
CRDE3,RW,92.5274628896432,20.7840734546724,92.5274628896432,20.7840734546724,0,0
CRDE3,AR1_painel,94.9264560790497,24.9635969009974,92.5274628896432,20.7840734546724,-2.59273637737996,-20.1092603691959
CRDE3,FATOR1_painel,94.9273064238606,24.9798167745803,92.5274628896432,20.7840734546724,-2.59365539621421,-20.1873002857609
CRDE3,N1_painel,94.9284904766018,24.9856822672303,92.5274628896432,20.7840734546724,-2.59493507330069,-20.2155213785262
CRDE3,AR1_indiv,94.9595493847102,24.1190658174944,92.5274628896432,20.7840734546724,-2.62850230527527,-16.0459034659169
CRFB3,RW,6980.57667117038,2218.51307456488,6980.57667117038,2218.51307456488,0,0
CRFB3,AR1_painel,7022.81745149142,2459.00561570485,6980.57667117038,2218.51307456488,-0.605118779018543,-10.8402580042106
CRFB3,N1_painel,7031.49424299245,2494.45702015431,6980.57667117038,2218.51307456488,-0.72941784354803,-12.4382384198281
CRFB3,FATOR1_painel,7041.90376317344,2539.98884129687,6980.57667117038,2218.51307456488,-0.878539050453142,-14.4905959950246
CRFB3,AR1_indiv,7256.09840811932,2520.26491369899,6980.57667117038,2218.51307456488,-3.94697673169091,-13.6015353073046
CRIV3,AR1_indiv,14.5991555946355,4.13501921318315,14.8205836601156,3.91313233693021,1.49405766033325,-5.67031362979666
CRIV3,N1_painel,14.6155076728159,4.2337257921307,14.8205836601156,3.91313233693021,1.38372409618077,-8.19275781130333
CRIV3,AR1_painel,14.6158825359943,4.134668010536,14.8205836601156,3.91313233693021,1.3811947546451,-5.6613386548428
CRIV3,FATOR1_painel,14.6246393393799,4.27105407547408,14.8205836601156,3.91313233693021,1.32210933947881,-9.14668116807555
CRIV3,RW,14.8205836601156,3.91313233693021,14.8205836601156,3.91313233693021,0,0
CSAN3,RW,11520.7551380912,3614.23322682906,11520.7551380912,3614.23322682906,0,0
CSAN3,AR1_painel,11673.2478079979,3790.73464296347,11520.7551380912,3614.23322682906,-1.32363432846974,-4.88350931047306
CSAN3,N1_painel,11732.1581145095,3983.71753874849,11520.7551380912,3614.23322682906,-1.8349749984645,-10.2230345617069
CSAN3,FATOR1_painel,11741.8909345271,4070.06451692782,11520.7551380912,3614.23322682906,-1.9194557456109,-12.6121160835734
CSAN3,AR1_indiv,11982.2091757832,3952.80634554343,11520.7551380912,3614.23322682906,-4.00541485484982,-9.36777173650789
CSMG3,FATOR1_painel,3907.49544086855,1690.81319984168,4028.68800131691,1491.02670503771,3.00823892067945,-13.3992566416794
CSMG3,N1_painel,3910.34515426567,1664.54090136955,4028.68800131691,1491.02670503771,2.93750340092235,-11.6372292827216
CSMG3,AR1_painel,3911.44254397846,1618.94231863723,4028.68800131691,1491.02670503771,2.91026401895902,-8.57902901184398
CSMG3,RW,4028.68800131691,1491.02670503771,4028.68800131691,1491.02670503771,0,0
CSMG3,AR1_indiv,4151.70081894863,1663.32669405723,4028.68800131691,1491.02670503771,-3.05342130220829,-11.5557949725097
CSNA3,RW,7342.64327506054,2681.60365945169,7342.64327506054,2681.60365945169,0,0
CSNA3,AR1_painel,7403.67763845155,2735.29489039023,7342.64327506054,2681.60365945169,-0.831231493954143,-2.0022060586504
CSNA3,N1_painel,7490.16872236592,3040.84809954674,7342.64327506054,2681.60365945169,-2.0091599411679,-13.3966270082024
CSNA3,FATOR1_painel,7508.07944439762,3007.72748855451,7342.64327506054,2681.60365945169,-2.25308738474304,-12.1615223768564
CSNA3,AR1_indiv,7565.94745080457,2805.48605527946,7342.64327506054,2681.60365945169,-3.04119602953457,-4.6197131105161
CTNM4,RW,6.87824281622602,2.0541692292204,6.87824281622602,2.0541692292204,0,0
CTNM4,N1_painel,7.23806338352795,2.69678589776642,6.87824281622602,2.0541692292204,-5.23128620078808,-31.2835310452932
CTNM4,FATOR1_painel,7.24232587126264,2.62450249536937,6.87824281622602,2.0541692292204,-5.29325679194885,-27.764667975551
CTNM4,AR1_painel,7.24633664927209,2.47871275038763,6.87824281622602,2.0541692292204,-5.3515678768671,-20.6674072967374
CTNM4,AR1_indiv,7.28602537752627,2.4769745029903,6.87824281622602,2.0541692292204,-5.92858630024336,-20.5827868393478
CVCB3,FATOR1_painel,6020.08074255391,2589.62581735647,6072.95320561617,2357.74943556502,0.870621940794181,-9.83464902138262
CVCB3,N1_painel,6028.18562024397,2587.74482892485,6072.95320561617,2357.74943556502,0.737163351280257,-9.75487004218998
CVCB3,AR1_painel,6031.30918672482,2612.53530583166,6072.95320561617,2357.74943556502,0.685729289875647,-10.8063166689122
CVCB3,AR1_indiv,6064.18810548636,2649.0633698257,6072.95320561617,2357.74943556502,0.144330111447399,-12.3555934259346
CVCB3,RW,6072.95320561617,2357.74943556502,6072.95320561617,2357.74943556502,0,0
CYRE3,AR1_painel,11120.1623950478,4213.71767310758,11203.5331988685,4154.98480268073,0.744147425109665,-1.41355199154876
CYRE3,FATOR1_painel,11130.7699053383,4304.16945097931,11203.5331988685,4154.98480268073,0.649467379965196,-3.59049804953127
CYRE3,N1_painel,11137.4893767315,4298.77142303894,11203.5331988685,4154.98480268073,0.589491020062616,-3.46058113775611
CYRE3,RW,11203.5331988685,4154.98480268073,11203.5331988685,4154.98480268073,0,0
CYRE3,AR1_indiv,11581.4950128525,4379.52155109355,11203.5331988685,4154.98480268073,-3.37359480509392,-5.40403296464411
DIRR3,RW,1219.73263592932,450.868952771011,1219.73263592932,450.868952771011,0,0
